ID,Borrower Lat,Borrower Lng,Lender Lat,Lender Lng
579,51.488,-0.095,40.723,-73.99
580,51.59,0.0695,51.429,-0.101
581,51.372,0.4786,51.529,-0.073
582,51.49,-0.163,51.487,-0.092
583,51.508,0.0186,51.537,-0.057
584,50.729,-1.846,51.462,-0.105
585,51.594,-0.022,51.461,-0.115
586,51.522,0.0501,35.97,14.349
587,51.513,-0.039,51.511,-0.139
588,51.576,-0.095,51.557,-0.038
589,51.535,-0.06,51.519,-0.125
590,51.547,0.123,51.498,-0.021
591,-8.781,115.17,51.487,-0.06
592,51.557,-0.072,51.565,-0.085
593,51.557,-0.072,51.565,-0.085
594,-8.781,115.17,51.487,-0.06
595,51.557,-0.072,51.565,-0.085
596,51.603,-0.083,51.514,-0.109
597,51.531,-0.126,51.509,-0.145
598,51.531,-0.126,51.509,-0.145
599,51.531,-0.126,51.509,-0.145
600,51.531,-0.126,51.509,-0.145
601,51.536,0.0796,51.518,-0.135
602,51.513,-0.32,51.53,-0.146
603,51.53,-0.146,51.538,-0.099
604,51.552,-0.159,51.515,-0.1
605,51.583,-0.226,51.397,-2.39
606,51.531,-0.126,51.509,-0.145
607,51.579,-0.03,51.545,-0.114
608,51.473,-0.064,51.424,-0.058
609,51.507,-0.127,51.424,-0.058
610,51.563,-0.056,51.516,-0.13
611,51.509,-0.059,51.463,-0.128
612,51.456,-0.24,51.45,-0.196
613,51.403,-0.112,51.509,-0.145
614,51.434,-0.129,51.519,-0.042
615,51.442,-0.191,51.458,-0.19
616,51.494,-0.101,51.524,-0.318
617,51.46,-0.114,51.551,-0.041
618,51.525,-0.129,51.429,-0.101
619,51.525,-0.129,51.513,-0.228
620,52.243,0.7112,51.583,-0.063
621,51.55,0.0942,51.505,-0.221
622,51.5,-0.116,51.524,-0.318
623,51.579,-0.017,51.6,-0.009
624,51.524,-0.074,51.523,-0.045
625,51.524,-0.074,51.523,-0.045
626,51.532,-0.096,51.509,0.0297
627,51.557,-0.319,51.541,-0.088
628,51.455,-0.067,51.528,-0.188
629,51.577,-0.152,51.513,-0.096
630,51.542,-0.056,41.709,44.802
631,51.433,-0.154,51.504,-0.086
632,51.487,-0.013,51.522,-0.112
633,51.476,-0.222,51.53,-0.204
634,51.647,-0.527,51.538,-0.142
635,51.462,-0.017,51.503,-0.083
636,51.441,-0.11,51.504,-0.086
637,51.516,-0.13,51.509,-0.145
638,51.552,-0.141,51.555,-0.233
639,51.459,-0.196,51.461,-0.225
640,51.539,-0.899,51.509,-0.075
641,51.547,0.123,51.52,-0.101
642,51.525,-0.083,51.506,-0.253
643,51.547,0.123,51.498,-0.021
644,51.525,-0.082,51.518,-0.179
645,51.572,0.0934,51.397,-2.39
646,51.47,-0.224,51.45,-0.196
647,51.479,-0.078,51.547,0.0074
648,51.536,-0.197,51.519,-0.099
649,51.52,-0.017,51.513,-0.014
650,51.554,-0.066,50.991,-3.097
651,51.516,-0.234,51.509,-0.145
652,51.6,-0.009,51.609,-0.176
653,51.511,-0.319,51.45,-0.196
654,51.545,-0.087,51.461,-0.115
655,51.406,-0.096,51.476,-0.056
656,51.527,-0.082,51.461,-0.115
657,51.452,-0.251,51.498,-0.237
658,51.526,-0.066,51.519,-0.042
659,51.545,-0.087,51.53,-0.063
660,51.441,0.3669,51.589,-0.108
661,51.525,-0.135,51.51,-0.136
662,51.525,-0.135,51.494,0.0552
663,51.513,-0.32,51.375,-0.08
664,50.948,-2.518,51.525,-0.083
665,40.758,-73.98,51.498,-0.132
666,51.119,-0.163,51.497,-0.281
667,51.495,-0.095,51.513,-0.232
668,51.461,-0.115,51.452,0.0157
669,51.544,-0.022,51.535,-0.056
670,51.479,-0.179,51.511,-0.319
671,51.563,-0.375,51.555,-0.233
672,51.601,0.4433,51.497,-0.183
673,51.513,-0.307,51.23,6.726
674,51.474,-0.059,51.585,-0.027
675,51.474,-0.059,51.585,-0.027
676,51.474,-0.059,51.585,-0.027
677,51.521,0.0024,51.43,-0.093
678,51.554,-0.066,51.536,-0.071
679,52.044,-0.744,51.498,-0.021
680,51.459,-0.137,51.537,-0.09
681,51.554,-0.066,51.43,-0.093
682,51.474,0.0464,51.491,-0.093
683,51.767,-0.423,51.536,-0.066
684,51.554,-0.066,51.536,-0.071
685,51.525,-0.083,51.476,-0.026
686,51.527,-0.082,51.464,-0.056
687,51.53,0.011,51.538,-0.142
688,51.44,-0.189,51.487,-0.06
689,51.445,-0.11,51.555,-0.057
690,51.608,0.108,51.487,-0.097
691,51.516,-0.133,51.519,-0.042
692,51.465,-0.18,51.461,-0.203
693,51.532,-0.006,51.544,-0.052
